"";"PlotID";"Landscape_type_2";"Plot_type_3";"Date.start";"Date.end";"Duration";"Insects";"Ausgangsgewicht";"Ausgangsgewicht_trocken";"dung_wet";"dung_dry";"weight_loss";"weight_loss_percent";"elevation";"average_Temp_DL_exp";"average_Humidity_DL_exp";"average_Temp_DL";"av_prec_exp";"av_temp_exp";"Annual_P_LT";"Annual_T2AVG_LT"
"92";"6029_3_A";"a";"c";"15.05.2019";"13.06.2019";29;"no";449,6;108,26;248,93;84,15;24,11;22,27;368;15,98;78,19;17,37;64,3333333333333;16,1333333333333;771,4333333;8,720277778
"93";"6029_3_F";"a";"a";"14.05.2019";"12.06.2019";29;"yes";450,6;108,5;149,84;88,7;19,8;18,25;408;16,16;74,68;17,47;61,3333333333333;16,3666666666667;734,7;8,920277778
"94";"6029_3_F";"a";"a";"14.05.2019";"12.06.2019";29;"no";450,2;108,41;145,77;105,96;2,45;2,26;408;16,16;74,68;17,47;61,3333333333333;16,3666666666667;734,7;8,920277778
"95";"6029_3_G";"a";"b";"14.05.2019";"12.06.2019";29;"yes";450,5;108,48;190,31;89,97;18,51;17,06;366;15,48;77,44;16,51;64,3333333333333;16,1333333333333;771,4333333;8,720277778
"96";"6029_3_G";"a";"b";"14.05.2019";"12.06.2019";29;"no";450;108,36;258,97;83,02;25,34;23,39;366;15,48;77,44;16,51;64,3333333333333;16,1333333333333;771,4333333;8,720277778
"97";"6031_4_F";"c";"a";"15.05.2019";"13.06.2019";29;"yes";450,1;108,38;209,32;98,72;9,66;8,92;281;16,16;76,66;17,21;54,6666666666667;17,1;673,5;9,509444444
"98";"6031_4_F";"c";"a";"15.05.2019";"13.06.2019";29;"no";450,7;108,53;276,57;95;13,53;12,47;281;16,16;76,66;17,21;54,6666666666667;17,1;673,5;9,509444444
"99";"6031_4_G";"c";"b";"15.05.2019";"13.06.2019";29;"yes";450;108,36;281,04;81,01;27,35;25,24;259;16,48;76,91;17,47;55;17,1333333333333;670,4666667;9,546111111
"100";"6031_4_G";"c";"b";"15.05.2019";"13.06.2019";29;"no";449,4;108,22;391,97;88,76;19,46;17,98;259;16,48;76,91;17,47;55;17,1333333333333;670,4666667;9,546111111
"101";"6031_4_U";"c";"d";"15.05.2019";"13.06.2019";29;"yes";450,5;108,48;371,94;82,22;26,26;24,21;285;16,65;74,04;17,8;55;17,1333333333333;670,4666667;9,546111111
